month, rsut4co2, rsutcs4co2, rsus4co2, rsuscs4co2, rsds4co2, rsdscs4co2, rlut4co2, rlutcs4co2, rlus4co2, rlds4co2, rldscs4co2,
0.00000, 103.744, 56.1914, 26.8807, 32.8858, 198.505, 254.507, 233.684, 255.184, 387.110, 334.329, 309.494,
1.00000, 102.262, 55.7997, 26.1246, 32.2223, 197.026, 251.966, 234.109, 255.152, 387.931, 334.532, 309.916,
2.00000, 101.070, 55.7250, 26.2740, 32.9787, 194.609, 248.847, 233.823, 255.920, 391.914, 337.321, 312.654,
3.00000, 99.5516, 56.4139, 26.8194, 33.9050, 191.803, 244.103, 235.242, 257.657, 397.438, 341.795, 316.906,
4.00000, 98.5620, 56.3845, 27.0170, 34.1859, 188.422, 239.733, 236.088, 259.398, 401.984, 345.701, 321.217,
5.00000, 95.9302, 54.1246, 24.8798, 31.5781, 185.245, 235.598, 239.161, 261.584, 406.343, 350.019, 325.908,
6.00000, 93.5983, 52.4812, 23.3628, 29.2701, 184.779, 233.433, 240.224, 261.784, 407.180, 351.289, 328.203,
7.00000, 93.1367, 50.8309, 21.7355, 27.3246, 185.634, 235.216, 240.704, 262.111, 407.323, 351.941, 328.383,
8.00000, 95.2718, 51.0318, 22.1192, 27.7784, 189.069, 240.935, 239.054, 260.728, 403.920, 347.963, 323.638,
9.00000, 99.5169, 54.0432, 25.2485, 31.4330, 193.922, 247.903, 236.740, 258.532, 398.615, 343.096, 318.039,
10.0000, 103.309, 57.2332, 28.7609, 35.1809, 198.726, 253.705, 234.794, 256.551, 392.259, 337.646, 312.607,
11.0000, 104.458, 57.0464, 27.9175, 34.1683, 198.793, 255.072, 234.113, 255.756, 389.478, 336.328, 311.156,
12.0000, 103.367, 55.9549, 26.6208, 32.6199, 198.683, 254.556, 234.548, 255.938, 388.314, 335.300, 310.471,
13.0000, 102.288, 55.5230, 25.8201, 31.8414, 196.528, 251.715, 234.077, 255.349, 388.821, 335.560, 311.132,
14.0000, 100.428, 55.4693, 25.7588, 32.5593, 194.526, 248.524, 234.776, 256.565, 393.279, 339.068, 314.275,
15.0000, 100.025, 57.1072, 27.3048, 34.4811, 191.374, 243.541, 235.564, 258.204, 398.479, 343.480, 318.899,
16.0000, 98.3012, 56.5676, 26.8172, 33.9434, 187.768, 238.648, 236.792, 259.541, 403.137, 347.819, 323.380,
17.0000, 95.7091, 54.1153, 24.8600, 31.4620, 185.468, 235.518, 239.082, 261.385, 406.356, 350.200, 326.147,
18.0000, 93.6411, 52.4255, 23.3008, 29.2687, 184.806, 233.649, 240.784, 262.598, 408.108, 351.821, 328.379,
19.0000, 94.2833, 51.1043, 21.7458, 27.4094, 184.547, 235.133, 240.539, 262.306, 407.571, 352.316, 328.419,
20.0000, 95.7987, 51.6585, 22.5020, 28.0284, 189.010, 240.676, 240.066, 261.331, 403.404, 347.390, 323.344,
21.0000, 100.885, 54.7447, 25.6894, 31.9274, 193.076, 247.843, 236.799, 258.656, 397.674, 342.461, 317.251,
22.0000, 103.381, 57.6269, 29.1149, 35.3885, 198.924, 253.478, 235.560, 257.071, 392.508, 337.554, 312.714,
23.0000, 104.611, 57.3503, 28.3436, 34.7233, 199.375, 255.691, 234.734, 256.028, 388.436, 335.197, 309.987,
24.0000, 103.533, 56.1081, 26.8382, 32.6063, 198.813, 254.581, 234.459, 255.565, 387.946, 334.649, 309.836,
25.0000, 101.202, 54.9301, 25.5994, 31.5675, 197.621, 252.222, 234.504, 255.541, 389.338, 335.741, 311.298,
26.0000, 100.690, 55.4324, 25.6141, 32.0858, 194.051, 247.966, 234.545, 256.505, 392.927, 338.772, 314.402,
27.0000, 99.2224, 56.3425, 26.5807, 33.5102, 191.811, 243.653, 235.182, 257.745, 397.877, 342.603, 318.197,
28.0000, 98.2274, 56.2011, 26.7298, 33.7153, 188.302, 239.248, 236.411, 259.629, 402.956, 347.031, 322.298,
29.0000, 96.1410, 53.9973, 24.8029, 31.3108, 184.998, 235.412, 238.477, 261.434, 406.760, 350.730, 326.576,
30.0000, 94.1014, 52.4309, 23.0563, 29.0465, 183.726, 233.088, 240.270, 262.252, 408.315, 352.683, 329.295,
31.0000, 94.5044, 50.9556, 21.5608, 27.3204, 184.381, 235.486, 239.536, 261.591, 406.847, 351.517, 327.304,
32.0000, 96.0418, 51.2871, 22.2185, 27.9920, 188.795, 241.341, 239.226, 260.949, 403.055, 347.227, 322.485,
33.0000, 99.3759, 54.5718, 25.7024, 31.8141, 194.798, 247.997, 237.213, 258.834, 398.018, 342.180, 317.347,
34.0000, 104.449, 57.8745, 28.8472, 35.4372, 197.771, 253.548, 234.871, 256.756, 392.286, 337.814, 312.033,
35.0000, 105.182, 57.8796, 28.5350, 34.9867, 199.058, 255.446, 234.145, 255.989, 389.006, 335.683, 310.302,
36.0000, 104.880, 56.5784, 26.9816, 32.9894, 197.256, 254.264, 234.952, 255.716, 386.750, 334.423, 309.685,
37.0000, 102.571, 55.0790, 25.6268, 31.6404, 195.751, 251.745, 234.760, 255.903, 388.872, 335.964, 311.194,
38.0000, 100.239, 55.6837, 25.8233, 32.4977, 194.554, 248.032, 235.039, 256.441, 392.392, 337.881, 313.346,
39.0000, 101.178, 58.1879, 27.3740, 34.4913, 190.162, 242.491, 235.639, 257.597, 396.816, 342.458, 317.773,
40.0000, 99.5427, 57.4227, 27.1900, 34.2783, 187.505, 238.823, 237.358, 259.854, 402.585, 346.628, 321.878,
41.0000, 97.1629, 54.8357, 24.6730, 31.3208, 183.549, 234.488, 238.970, 261.320, 406.416, 351.055, 326.622,
42.0000, 95.1130, 53.3149, 23.0572, 28.9980, 182.769, 232.264, 240.187, 262.110, 408.046, 353.248, 329.419,
43.0000, 94.7730, 52.0005, 21.6908, 27.2686, 183.947, 234.136, 240.171, 261.712, 406.804, 351.583, 327.735,
44.0000, 96.2217, 52.4379, 22.1740, 27.7101, 187.920, 239.354, 239.102, 260.379, 403.475, 347.689, 323.088,
45.0000, 100.864, 55.6124, 25.3572, 31.4129, 192.766, 246.510, 236.527, 258.199, 397.984, 342.343, 317.093,
46.0000, 105.073, 59.1287, 28.7078, 34.8278, 197.002, 251.703, 234.465, 256.220, 392.150, 338.166, 313.098,
47.0000, 105.234, 59.2318, 27.9475, 33.8968, 198.624, 253.246, 234.436, 255.873, 390.023, 336.486, 311.811,
48.0000, 106.019, 58.4541, 26.3520, 32.1257, 195.574, 251.676, 234.438, 255.542, 389.493, 337.541, 312.600,
49.0000, 103.010, 56.8062, 25.3788, 31.1979, 195.595, 250.060, 234.847, 255.931, 390.904, 338.119, 313.811,
50.0000, 101.810, 57.8193, 25.7382, 32.1212, 193.369, 246.055, 236.172, 257.373, 394.026, 340.157, 315.820,
51.0000, 101.426, 58.9046, 26.5975, 33.4766, 189.551, 241.225, 235.963, 257.712, 398.388, 344.194, 319.406,
52.0000, 99.6280, 58.4196, 26.6898, 33.8013, 187.148, 237.601, 236.372, 258.909, 402.422, 347.300, 322.499,
53.0000, 97.5674, 56.4602, 24.7808, 31.1549, 183.970, 233.381, 237.887, 260.550, 406.790, 351.067, 326.731,
54.0000, 96.0842, 54.4039, 22.9762, 28.9004, 182.652, 232.109, 239.808, 261.778, 408.227, 352.587, 328.338,
55.0000, 94.3860, 52.3604, 21.5671, 27.0944, 184.932, 234.271, 240.331, 261.525, 407.344, 351.673, 327.956,
56.0000, 97.1503, 52.6769, 22.0127, 27.6420, 187.610, 239.787, 238.704, 260.450, 403.773, 348.270, 323.539,
57.0000, 100.186, 55.6205, 25.3838, 31.3011, 193.957, 246.798, 237.091, 258.564, 398.264, 342.367, 317.606,
58.0000, 104.102, 58.4307, 28.4712, 34.8201, 197.932, 252.548, 235.066, 256.481, 392.141, 337.454, 312.661,
59.0000, 105.335, 58.2335, 28.0628, 34.2266, 198.298, 254.286, 234.597, 255.926, 389.906, 336.798, 311.596,
60.0000, 104.454, 56.8143, 26.5691, 32.2822, 197.525, 253.523, 234.897, 255.680, 388.055, 335.008, 310.441,
61.0000, 102.293, 55.5277, 25.2832, 31.1319, 196.136, 251.206, 234.885, 255.855, 390.003, 336.593, 312.166,
62.0000, 101.060, 55.9595, 25.3306, 31.9749, 193.242, 247.342, 234.767, 256.420, 393.339, 339.758, 314.895,
63.0000, 99.7516, 57.7632, 26.6387, 33.4120, 190.913, 241.751, 235.879, 257.765, 397.930, 342.786, 318.684,
64.0000, 98.9878, 56.8782, 26.6736, 33.7117, 187.494, 238.789, 237.086, 259.380, 402.294, 346.430, 321.762,
65.0000, 95.8089, 54.4949, 24.6590, 31.1166, 185.461, 235.077, 238.519, 260.810, 405.843, 349.087, 325.274,
66.0000, 93.6508, 52.8900, 23.0327, 28.9286, 184.697, 232.961, 240.168, 261.896, 407.914, 351.493, 328.370,
67.0000, 93.1048, 51.7424, 21.8074, 27.1728, 186.011, 234.355, 240.324, 261.688, 407.227, 351.186, 328.158,
68.0000, 95.2428, 51.8520, 22.1378, 27.5694, 189.253, 239.965, 239.334, 260.721, 403.817, 347.470, 323.692,
69.0000, 100.357, 54.9869, 25.3094, 31.3874, 193.390, 247.197, 237.063, 258.727, 398.182, 342.684, 317.598,
70.0000, 103.474, 58.1952, 28.8155, 35.3103, 198.849, 253.143, 234.967, 256.506, 392.649, 337.452, 312.560,
71.0000, 104.306, 58.2064, 28.4428, 34.7193, 200.207, 255.104, 234.333, 255.611, 388.125, 333.883, 309.236,
72.0000, 103.825, 56.6388, 26.5538, 32.3085, 198.494, 253.918, 233.650, 254.902, 386.634, 333.338, 308.952,
73.0000, 101.767, 55.2782, 25.4580, 31.3790, 196.908, 251.664, 233.941, 255.178, 389.093, 335.493, 311.220,
74.0000, 101.110, 55.7599, 25.6629, 32.4069, 193.517, 247.888, 234.296, 255.994, 392.332, 338.492, 313.769,
75.0000, 100.203, 57.4637, 27.1833, 34.0496, 191.343, 243.058, 235.727, 257.618, 397.000, 341.488, 316.884,
76.0000, 99.3698, 57.6333, 27.2451, 34.3415, 187.589, 238.384, 236.471, 259.188, 401.725, 345.843, 321.477,
77.0000, 96.2020, 54.2285, 24.6540, 31.3032, 184.851, 235.324, 238.924, 261.289, 405.972, 349.630, 325.423,
78.0000, 93.4407, 52.2634, 22.9275, 28.8772, 184.771, 233.524, 240.380, 262.016, 407.710, 351.436, 327.972,
79.0000, 94.3457, 51.0086, 21.6931, 27.3064, 184.694, 235.356, 239.561, 261.408, 406.283, 350.613, 326.692,
80.0000, 96.2872, 51.3555, 22.1715, 27.9082, 188.211, 240.900, 238.656, 260.229, 402.881, 347.469, 322.716,
81.0000, 100.648, 54.6168, 25.4584, 31.8668, 193.333, 248.125, 236.311, 258.218, 397.273, 342.123, 316.589,
82.0000, 103.586, 58.1691, 29.1896, 35.7813, 199.290, 253.776, 235.239, 256.598, 391.691, 336.554, 311.724,
83.0000, 105.366, 58.2297, 28.9354, 35.3657, 199.423, 255.675, 234.985, 255.919, 388.482, 334.861, 309.784,
84.0000, 103.618, 56.3968, 26.8677, 32.8077, 198.921, 254.624, 234.134, 255.136, 387.815, 334.500, 309.831,
85.0000, 102.000, 55.2480, 25.6738, 31.6976, 196.951, 252.064, 234.163, 255.365, 388.954, 335.310, 311.058,
86.0000, 101.540, 56.4826, 25.4922, 32.3840, 192.842, 247.062, 234.510, 256.055, 392.456, 338.945, 313.911,
87.0000, 99.9706, 56.8418, 26.7580, 33.7368, 190.866, 243.099, 234.972, 257.150, 397.555, 342.610, 317.919,
88.0000, 99.1253, 56.6323, 26.7112, 34.0293, 187.149, 238.947, 236.061, 259.102, 402.142, 347.053, 322.122,
89.0000, 96.8814, 54.3475, 24.8395, 31.4861, 184.324, 235.413, 238.444, 260.858, 405.507, 350.070, 325.597,
90.0000, 93.8240, 52.3901, 23.2451, 29.2203, 184.561, 233.673, 240.276, 261.967, 407.914, 351.708, 328.163,
91.0000, 93.1740, 51.1394, 21.8928, 27.3526, 186.014, 235.126, 240.231, 261.973, 407.332, 350.976, 327.662,
92.0000, 95.6516, 51.4680, 22.2346, 27.7405, 188.722, 240.360, 238.974, 260.560, 403.593, 347.610, 323.562,
93.0000, 99.8569, 54.5631, 25.1069, 31.2293, 193.313, 247.043, 236.716, 258.436, 398.324, 343.082, 318.083,
94.0000, 104.016, 57.2300, 28.2533, 34.8278, 197.283, 253.189, 234.504, 256.487, 392.269, 338.484, 313.241,
95.0000, 104.624, 57.4000, 28.2820, 34.7114, 199.039, 255.362, 234.409, 255.783, 388.872, 335.908, 310.473,
96.0000, 104.204, 56.4533, 27.1788, 33.0248, 198.271, 254.375, 233.368, 254.974, 387.590, 334.800, 310.074,
97.0000, 102.603, 55.4859, 26.0423, 32.0944, 196.391, 251.959, 234.518, 255.741, 389.411, 336.290, 311.883,
98.0000, 101.529, 56.0653, 26.3200, 33.0771, 193.841, 248.339, 235.331, 256.894, 393.163, 339.360, 314.573,
99.0000, 99.5394, 56.6649, 26.5922, 33.4265, 190.946, 242.689, 236.498, 258.522, 399.263, 344.760, 320.474,
100.000, 97.7143, 56.1869, 26.5410, 33.7717, 188.005, 238.766, 236.785, 259.082, 403.086, 348.410, 323.893,
101.000, 95.8314, 53.9109, 24.8153, 31.5484, 185.093, 235.558, 238.380, 261.081, 406.928, 351.787, 327.393,
102.000, 94.2228, 52.5517, 23.2133, 29.1256, 183.617, 232.873, 240.005, 261.886, 408.877, 354.104, 330.298,
103.000, 94.0751, 50.8071, 21.5773, 27.1937, 184.189, 234.834, 240.703, 262.317, 408.362, 353.401, 329.253,
104.000, 96.0958, 51.2362, 22.1363, 27.7007, 187.404, 239.847, 239.562, 261.080, 405.370, 350.382, 325.988,
105.000, 100.240, 54.4691, 25.1205, 31.3653, 192.543, 246.919, 237.216, 258.877, 399.348, 344.866, 319.672,
106.000, 103.751, 57.5665, 28.6074, 35.0552, 197.632, 252.795, 235.757, 257.272, 394.450, 340.742, 315.421,
107.000, 104.558, 57.3878, 28.2003, 34.7388, 198.820, 255.229, 234.990, 256.014, 390.051, 337.269, 312.229,
108.000, 103.169, 55.7485, 26.7324, 32.6102, 198.502, 254.309, 234.969, 255.893, 388.953, 336.462, 312.369,
109.000, 102.450, 54.9862, 25.6274, 31.5649, 195.599, 251.493, 235.920, 256.569, 391.382, 339.094, 314.788,
110.000, 100.512, 55.5935, 25.6402, 32.3102, 193.806, 247.649, 235.544, 256.843, 394.230, 340.858, 316.292,
111.000, 100.075, 56.9015, 26.6993, 33.7148, 190.501, 242.792, 235.716, 257.768, 399.084, 344.604, 319.976,
112.000, 98.3192, 55.8104, 26.5724, 33.4931, 187.795, 239.249, 237.573, 260.090, 403.973, 348.435, 323.820,
113.000, 95.3187, 53.6231, 24.5760, 30.9757, 185.179, 235.113, 239.644, 261.636, 407.429, 351.682, 327.778,
114.000, 93.4392, 52.2268, 23.0512, 28.8554, 183.909, 232.547, 241.147, 262.590, 408.938, 353.967, 330.693,
115.000, 92.8700, 50.6914, 21.6883, 27.1969, 185.227, 234.612, 241.373, 262.378, 408.668, 353.372, 330.183,
116.000, 95.1281, 51.2334, 22.1647, 27.7013, 188.717, 240.104, 239.849, 260.973, 404.443, 349.097, 325.192,
117.000, 99.5648, 54.2944, 25.5209, 31.7424, 194.105, 247.937, 237.136, 258.456, 398.100, 342.676, 317.722,
118.000, 103.634, 57.5502, 29.1045, 35.5050, 198.726, 253.689, 234.963, 256.461, 391.915, 337.401, 312.455,
119.000, 105.287, 57.7409, 28.6564, 35.1082, 198.923, 255.582, 234.259, 255.555, 387.866, 334.582, 309.543,
120.000, 102.975, 55.9919, 26.8555, 32.6333, 199.419, 254.658, 234.550, 255.113, 386.541, 332.981, 309.123,
121.000, 102.137, 55.5975, 25.7176, 31.6038, 196.478, 251.254, 235.056, 255.869, 389.323, 336.130, 311.898,
122.000, 100.395, 55.5827, 25.6752, 32.5129, 194.239, 248.117, 234.439, 255.873, 392.807, 338.775, 314.026,
123.000, 99.8519, 57.0890, 27.0433, 34.1853, 191.612, 243.613, 235.528, 257.555, 397.576, 341.895, 317.341,
124.000, 98.4572, 56.5402, 26.9305, 34.0232, 188.257, 239.286, 236.935, 259.217, 402.418, 346.480, 321.825,
125.000, 95.9286, 54.2491, 24.7159, 31.2421, 184.786, 234.810, 238.303, 260.814, 406.253, 350.387, 326.468,
126.000, 93.3537, 52.1742, 23.2008, 29.0866, 184.915, 233.602, 240.904, 262.440, 408.692, 352.433, 329.358,
127.000, 92.3741, 50.6455, 21.8054, 27.2829, 186.452, 235.249, 240.591, 261.924, 407.982, 351.837, 328.889,
128.000, 95.1399, 51.0227, 22.1473, 27.6971, 188.981, 240.558, 239.553, 260.881, 404.448, 348.590, 324.757,
129.000, 99.8576, 54.2828, 25.4810, 31.5861, 193.904, 247.895, 237.059, 258.622, 398.590, 343.119, 318.415,
130.000, 103.819, 57.3281, 28.5938, 35.1083, 197.885, 253.452, 235.114, 256.747, 393.438, 339.270, 314.256,
131.000, 105.549, 57.7005, 28.2324, 34.8540, 198.228, 255.338, 233.495, 255.085, 387.860, 335.243, 310.086,
132.000, 104.430, 56.3357, 26.9921, 32.9360, 197.922, 254.474, 233.898, 255.310, 387.943, 335.548, 310.858,
133.000, 101.468, 55.1082, 25.8791, 31.6908, 197.440, 251.914, 234.122, 255.215, 389.980, 336.756, 312.717,
134.000, 100.312, 55.5526, 25.3435, 31.9881, 193.884, 247.471, 235.018, 256.477, 393.784, 340.109, 315.619,
135.000, 100.144, 56.8901, 26.7433, 33.8623, 190.556, 242.962, 234.908, 257.471, 398.849, 344.309, 319.897,
136.000, 98.7724, 56.0920, 26.3381, 33.5952, 186.851, 238.863, 236.667, 259.521, 403.418, 348.510, 323.528,
137.000, 95.4602, 53.3141, 24.3830, 30.8751, 185.133, 235.590, 239.104, 261.385, 407.033, 351.303, 327.485,
138.000, 93.3604, 51.7181, 22.8594, 28.6416, 183.898, 232.999, 240.833, 262.334, 409.061, 354.018, 330.650,
139.000, 92.5298, 50.5862, 21.6049, 26.9840, 185.415, 234.435, 241.531, 262.428, 408.801, 353.602, 330.582,
140.000, 95.3331, 50.9113, 21.9205, 27.6134, 188.511, 240.604, 239.080, 260.280, 404.362, 349.238, 324.848,
141.000, 99.6219, 54.3483, 25.2725, 31.5181, 193.805, 247.654, 237.809, 258.994, 399.297, 344.167, 319.141,
142.000, 104.254, 57.2751, 28.3637, 34.9640, 196.897, 253.043, 234.932, 256.738, 394.138, 340.691, 315.262,
