month, NET_4xCO2_IRF_TOA, LW_4xCO2_IRF_TOA, LWcs_4xCO2_IRF_TOA, LWcre_4xCO2_IRF_TOA, SW_4xCO2_IRF_TOA, SWcs_4xCO2_IRF_TOA, SWcre_4xCO2_IRF_TOA,
0.00000, 3.97676, 3.62221, 4.83102, -1.20882, 0.354553, 0.213196, 0.141357,
1.00000, 4.01460, 3.66058, 4.84427, -1.18369, 0.354019, 0.218323, 0.135696,
2.00000, 4.04420, 3.69066, 4.93744, -1.24678, 0.353546, 0.226562, 0.126984,
3.00000, 4.18565, 3.83308, 5.10226, -1.26918, 0.352570, 0.235046, 0.117523,
4.00000, 4.27794, 3.93065, 5.24289, -1.31224, 0.347290, 0.236877, 0.110413,
5.00000, 4.45828, 4.12259, 5.38104, -1.25845, 0.335693, 0.224640, 0.111053,
6.00000, 4.52301, 4.19580, 5.39731, -1.20151, 0.327209, 0.212982, 0.114227,
7.00000, 4.52798, 4.20328, 5.40042, -1.19714, 0.324707, 0.202271, 0.122437,
8.00000, 4.41025, 4.07846, 5.29944, -1.22098, 0.331787, 0.203125, 0.128662,
9.00000, 4.26569, 3.91748, 5.14996, -1.23248, 0.348206, 0.217041, 0.131165,
10.0000, 4.11505, 3.75314, 4.98190, -1.22876, 0.361908, 0.229187, 0.132721,
11.0000, 4.03078, 3.67136, 4.89101, -1.21965, 0.359421, 0.218384, 0.141037,
12.0000, 3.98270, 3.62979, 4.83282, -1.20303, 0.352905, 0.211273, 0.141632,
13.0000, 3.97192, 3.61835, 4.81815, -1.19980, 0.353577, 0.216766, 0.136810,
14.0000, 4.05196, 3.70102, 4.93423, -1.23322, 0.350937, 0.224152, 0.126785,
15.0000, 4.14244, 3.78894, 5.07068, -1.28174, 0.353500, 0.238403, 0.115097,
16.0000, 4.25020, 3.90346, 5.18875, -1.28529, 0.346741, 0.235901, 0.110840,
17.0000, 4.40492, 4.06880, 5.32111, -1.25230, 0.336121, 0.223999, 0.112122,
18.0000, 4.50189, 4.17381, 5.39624, -1.22243, 0.328079, 0.212311, 0.115768,
19.0000, 4.45914, 4.13019, 5.35062, -1.22043, 0.328949, 0.202942, 0.126007,
20.0000, 4.41066, 4.07393, 5.27213, -1.19820, 0.336731, 0.206940, 0.129791,
21.0000, 4.22018, 3.86441, 5.10321, -1.23880, 0.355774, 0.221741, 0.134033,
22.0000, 4.12445, 3.75940, 4.97800, -1.21860, 0.365051, 0.232178, 0.132874,
23.0000, 4.00920, 3.64709, 4.85156, -1.20447, 0.362106, 0.221680, 0.140427,
24.0000, 3.97636, 3.61896, 4.81227, -1.19331, 0.357407, 0.212708, 0.144699,
25.0000, 4.01758, 3.66682, 4.85626, -1.18944, 0.350754, 0.213501, 0.137253,
26.0000, 4.03905, 3.68578, 4.92578, -1.24001, 0.353271, 0.224426, 0.128845,
27.0000, 4.13281, 3.78343, 5.06018, -1.27675, 0.349380, 0.233459, 0.115921,
28.0000, 4.24693, 3.90019, 5.21207, -1.31187, 0.346741, 0.234619, 0.112122,
29.0000, 4.38655, 4.05000, 5.33737, -1.28737, 0.336548, 0.222717, 0.113831,
30.0000, 4.49696, 4.16818, 5.39700, -1.22882, 0.328781, 0.211670, 0.117111,
31.0000, 4.44514, 4.11623, 5.35471, -1.23848, 0.328918, 0.202606, 0.126312,
32.0000, 4.37515, 4.03922, 5.26605, -1.22684, 0.335938, 0.205231, 0.130707,
33.0000, 4.25232, 3.90222, 5.12897, -1.22675, 0.350098, 0.220764, 0.129333,
34.0000, 4.09540, 3.72688, 4.97101, -1.24413, 0.368515, 0.232788, 0.135727,
35.0000, 3.99411, 3.63023, 4.86569, -1.23546, 0.363876, 0.225006, 0.138870,
36.0000, 4.00914, 3.64528, 4.81631, -1.17104, 0.363861, 0.216309, 0.147552,
37.0000, 4.02527, 3.66724, 4.86240, -1.19516, 0.358032, 0.215637, 0.142395,
38.0000, 4.09088, 3.73718, 4.95117, -1.21399, 0.353699, 0.226044, 0.127655,
39.0000, 4.15292, 3.79411, 5.04083, -1.24672, 0.358810, 0.241241, 0.117569,
40.0000, 4.27867, 3.92671, 5.20221, -1.27550, 0.351959, 0.238770, 0.113190,
41.0000, 4.38954, 4.04942, 5.30804, -1.25862, 0.340118, 0.223907, 0.116211,
42.0000, 4.45209, 4.12137, 5.35001, -1.22864, 0.330719, 0.211700, 0.119019,
43.0000, 4.44098, 4.11349, 5.32361, -1.21011, 0.327484, 0.202637, 0.124847,
44.0000, 4.37460, 4.04021, 5.24530, -1.20509, 0.334396, 0.204163, 0.130234,
45.0000, 4.22223, 3.87253, 5.10858, -1.23605, 0.349701, 0.217377, 0.132324,
46.0000, 4.05713, 3.69415, 4.92920, -1.23505, 0.362976, 0.228271, 0.134705,
47.0000, 3.98964, 3.63707, 4.85254, -1.21547, 0.352570, 0.217468, 0.135101,
48.0000, 3.95265, 3.59853, 4.79636, -1.19783, 0.354126, 0.209869, 0.144257,
49.0000, 3.99771, 3.65198, 4.84842, -1.19644, 0.345734, 0.208679, 0.137054,
50.0000, 4.10294, 3.75449, 4.95895, -1.20447, 0.348450, 0.222351, 0.126099,
51.0000, 4.16710, 3.81602, 5.05588, -1.23985, 0.351074, 0.232574, 0.118500,
52.0000, 4.25401, 3.90985, 5.18875, -1.27890, 0.344162, 0.233948, 0.110214,
53.0000, 4.38351, 4.04974, 5.32849, -1.27875, 0.333771, 0.222351, 0.111420,
54.0000, 4.48814, 4.15898, 5.39337, -1.23439, 0.329163, 0.211182, 0.117981,
55.0000, 4.50072, 4.17679, 5.37015, -1.19336, 0.323929, 0.201569, 0.122360,
56.0000, 4.39310, 4.05846, 5.29001, -1.23155, 0.334641, 0.204041, 0.130600,
57.0000, 4.28455, 3.93544, 5.15622, -1.22078, 0.349106, 0.218445, 0.130661,
58.0000, 4.13477, 3.77350, 4.99088, -1.21738, 0.361267, 0.229431, 0.131836,
59.0000, 4.06186, 3.70010, 4.91109, -1.21098, 0.361755, 0.219604, 0.142151,
60.0000, 4.04623, 3.68871, 4.86609, -1.17738, 0.357529, 0.211182, 0.146347,
61.0000, 4.05016, 3.69890, 4.88889, -1.18999, 0.351257, 0.211914, 0.139343,
62.0000, 4.08401, 3.73209, 4.96179, -1.22971, 0.351929, 0.222473, 0.129456,
63.0000, 4.20284, 3.85056, 5.09387, -1.24332, 0.352280, 0.236633, 0.115646,
64.0000, 4.31757, 3.96864, 5.23364, -1.26500, 0.348923, 0.235504, 0.113419,
65.0000, 4.43120, 4.09572, 5.35300, -1.25728, 0.335480, 0.223480, 0.112000,
66.0000, 4.53615, 4.21036, 5.42807, -1.21771, 0.325790, 0.212036, 0.113754,
67.0000, 4.53293, 4.20988, 5.41040, -1.20052, 0.323044, 0.203888, 0.119156,
68.0000, 4.44737, 4.11563, 5.32556, -1.20993, 0.331741, 0.204468, 0.127274,
69.0000, 4.30086, 3.94820, 5.18216, -1.23396, 0.352661, 0.219330, 0.133331,
70.0000, 4.17795, 3.81500, 5.04242, -1.22742, 0.362946, 0.232056, 0.130890,
71.0000, 4.07295, 3.71248, 4.91893, -1.20645, 0.360474, 0.224365, 0.136108,
72.0000, 4.00688, 3.65056, 4.85037, -1.19981, 0.356323, 0.214050, 0.142273,
73.0000, 4.03177, 3.67950, 4.88187, -1.20236, 0.352264, 0.214325, 0.137939,
74.0000, 4.10455, 3.75020, 4.98141, -1.23122, 0.354355, 0.225952, 0.128403,
75.0000, 4.23357, 3.87430, 5.12036, -1.24606, 0.359268, 0.239838, 0.119431,
76.0000, 4.32532, 3.97218, 5.25842, -1.28624, 0.353134, 0.242462, 0.110672,
77.0000, 4.48146, 4.14162, 5.40585, -1.26424, 0.339844, 0.224976, 0.114868,
78.0000, 4.56866, 4.24124, 5.45895, -1.21771, 0.327423, 0.211639, 0.115784,
79.0000, 4.51424, 4.18361, 5.41354, -1.22993, 0.330627, 0.203796, 0.126831,
80.0000, 4.44731, 4.10780, 5.33173, -1.22392, 0.339508, 0.205902, 0.133606,
81.0000, 4.30777, 3.95219, 5.20300, -1.25081, 0.355576, 0.221436, 0.134140,
82.0000, 4.21541, 3.84959, 5.06540, -1.21581, 0.365814, 0.235840, 0.129974,
83.0000, 4.14827, 3.77974, 4.96788, -1.18814, 0.368530, 0.227661, 0.140869,
84.0000, 4.07202, 3.71292, 4.90546, -1.19254, 0.359100, 0.214233, 0.144867,
85.0000, 4.06749, 3.71297, 4.91342, -1.20045, 0.354523, 0.215759, 0.138763,
86.0000, 4.13089, 3.77168, 4.99734, -1.22566, 0.359207, 0.229675, 0.129532,
87.0000, 4.22392, 3.86732, 5.13046, -1.26314, 0.356598, 0.236267, 0.120331,
88.0000, 4.31615, 3.96547, 5.27338, -1.30791, 0.350677, 0.237366, 0.113312,
89.0000, 4.47267, 4.12856, 5.39322, -1.26466, 0.344116, 0.226440, 0.117676,
90.0000, 4.57750, 4.24573, 5.46838, -1.22266, 0.331772, 0.213806, 0.117966,
91.0000, 4.55109, 4.22406, 5.44760, -1.22354, 0.327026, 0.205017, 0.122009,
92.0000, 4.44691, 4.10991, 5.33298, -1.22307, 0.337006, 0.206299, 0.130707,
93.0000, 4.30511, 3.95152, 5.19052, -1.23900, 0.353592, 0.220520, 0.133072,
94.0000, 4.13803, 3.77145, 5.02267, -1.25122, 0.366577, 0.229889, 0.136688,
95.0000, 4.07980, 3.71478, 4.92888, -1.21410, 0.365021, 0.222351, 0.142670,
96.0000, 4.01164, 3.65079, 4.87436, -1.22357, 0.360855, 0.216003, 0.144852,
97.0000, 4.09442, 3.73569, 4.93932, -1.20363, 0.358734, 0.218506, 0.140228,
98.0000, 4.16061, 3.80008, 5.02762, -1.22754, 0.360535, 0.230072, 0.130463,
99.0000, 4.26019, 3.90395, 5.16049, -1.25655, 0.356247, 0.237183, 0.119064,
100.000, 4.32816, 3.97964, 5.24783, -1.26819, 0.348511, 0.236755, 0.111755,
101.000, 4.44530, 4.10616, 5.39001, -1.28386, 0.339142, 0.225159, 0.113983,
102.000, 4.54428, 4.21092, 5.44406, -1.23314, 0.333359, 0.214813, 0.118546,
103.000, 4.55801, 4.22572, 5.44870, -1.22298, 0.332291, 0.203583, 0.128708,
104.000, 4.47110, 4.13065, 5.35419, -1.22354, 0.340454, 0.205505, 0.134949,
105.000, 4.31783, 3.96115, 5.19788, -1.23672, 0.356674, 0.221191, 0.135483,
106.000, 4.19286, 3.82368, 5.05310, -1.22942, 0.369171, 0.232239, 0.136932,
107.000, 4.10497, 3.73949, 4.93658, -1.19710, 0.365479, 0.223541, 0.141937,
108.000, 4.08058, 3.72282, 4.90991, -1.18709, 0.357758, 0.212738, 0.145020,
109.000, 4.13391, 3.77397, 4.95023, -1.17625, 0.359940, 0.215942, 0.143997,
110.000, 4.17987, 3.82166, 5.03867, -1.21701, 0.358215, 0.227509, 0.130707,
111.000, 4.24469, 3.88423, 5.14404, -1.25981, 0.360458, 0.239716, 0.120743,
112.000, 4.37317, 4.01984, 5.30231, -1.28247, 0.353333, 0.236450, 0.116882,
113.000, 4.52101, 4.17982, 5.42374, -1.24391, 0.341187, 0.224487, 0.116699,
114.000, 4.60060, 4.26906, 5.47647, -1.20741, 0.331543, 0.213745, 0.117798,
115.000, 4.59282, 4.26472, 5.45297, -1.18825, 0.328094, 0.203461, 0.124634,
116.000, 4.47459, 4.13710, 5.33627, -1.19917, 0.337494, 0.206390, 0.131104,
117.000, 4.31946, 3.96324, 5.18506, -1.22182, 0.356216, 0.221771, 0.134445,
118.000, 4.17450, 3.80367, 5.03214, -1.22847, 0.370834, 0.234955, 0.135880,
119.000, 4.06540, 3.69623, 4.90837, -1.21214, 0.369171, 0.227051, 0.142120,
120.000, 4.04964, 3.68983, 4.85632, -1.16649, 0.359802, 0.215851, 0.143951,
121.000, 4.08763, 3.72720, 4.91292, -1.18571, 0.360428, 0.220215, 0.140213,
122.000, 4.11577, 3.75742, 4.98225, -1.22484, 0.358353, 0.228210, 0.130142,
123.000, 4.23492, 3.87445, 5.13345, -1.25900, 0.360474, 0.241180, 0.119293,
124.000, 4.34509, 3.98935, 5.26105, -1.27170, 0.355743, 0.240234, 0.115509,
125.000, 4.45131, 4.10829, 5.38257, -1.27428, 0.343018, 0.228607, 0.114410,
126.000, 4.58269, 4.25050, 5.46545, -1.21495, 0.332184, 0.214752, 0.117432,
127.000, 4.54544, 4.21860, 5.42392, -1.20532, 0.326843, 0.204590, 0.122253,
128.000, 4.47308, 4.13544, 5.34628, -1.21085, 0.337646, 0.206390, 0.131256,
129.000, 4.31723, 3.96117, 5.19412, -1.23296, 0.356064, 0.221771, 0.134293,
130.000, 4.17998, 3.81081, 5.04895, -1.23814, 0.369171, 0.232056, 0.137115,
131.000, 4.04706, 3.67874, 4.90518, -1.22644, 0.368317, 0.226410, 0.141907,
132.000, 4.02054, 3.65628, 4.87270, -1.21642, 0.364258, 0.217499, 0.146759,
133.000, 4.06276, 3.70485, 4.90808, -1.20323, 0.357910, 0.218536, 0.139374,
134.000, 4.14708, 3.78992, 5.01511, -1.22519, 0.357162, 0.227966, 0.129196,
135.000, 4.19176, 3.83229, 5.12286, -1.29057, 0.359467, 0.239990, 0.119476,
136.000, 4.31848, 3.96446, 5.26996, -1.30550, 0.354019, 0.237579, 0.116440,
137.000, 4.47772, 4.13776, 5.40057, -1.26282, 0.339966, 0.223938, 0.116028,
138.000, 4.57018, 4.23790, 5.45282, -1.21492, 0.332275, 0.211731, 0.120544,
139.000, 4.59201, 4.26334, 5.44516, -1.18182, 0.328674, 0.203674, 0.125000,
140.000, 4.46278, 4.12361, 5.33081, -1.20720, 0.339172, 0.205109, 0.134064,
141.000, 4.36703, 4.01042, 5.22562, -1.21519, 0.356613, 0.222137, 0.134476,
142.000, 4.19019, 3.81943, 5.06808, -1.24866, 0.370758, 0.231781, 0.138977,
143.000, 4.10144, 3.73340, 4.96004, -1.22664, 0.368042, 0.224701, 0.143341,
144.000, 4.06384, 3.70155, 4.92914, -1.22758, 0.362289, 0.216217, 0.146072,
145.000, 4.08138, 3.72331, 4.91101, -1.18770, 0.358063, 0.218903, 0.139160,
146.000, 4.13565, 3.77391, 5.00613, -1.23222, 0.361740, 0.228210, 0.133530,
147.000, 4.25636, 3.89560, 5.14886, -1.25327, 0.360764, 0.239777, 0.120987,
148.000, 4.36182, 4.00818, 5.28995, -1.28177, 0.353638, 0.239410, 0.114227,
149.000, 4.51357, 4.17206, 5.42108, -1.24902, 0.341507, 0.225342, 0.116165,
150.000, 4.56764, 4.23473, 5.46298, -1.22826, 0.332916, 0.212402, 0.120514,
151.000, 4.49522, 4.16992, 5.35916, -1.18924, 0.325302, 0.201508, 0.123795,
152.000, 4.34645, 4.01666, 5.21521, -1.19855, 0.329788, 0.202301, 0.127487,
153.000, 4.19102, 3.84535, 5.05905, -1.21370, 0.345673, 0.216156, 0.129517,
154.000, 4.01891, 3.66225, 4.89326, -1.23102, 0.356659, 0.225708, 0.130951,
155.000, 3.91855, 3.56122, 4.77367, -1.21245, 0.357330, 0.217529, 0.139801,
156.000, 3.89034, 3.54375, 4.73721, -1.19347, 0.346588, 0.205322, 0.141266,
157.000, 3.93640, 3.59351, 4.78572, -1.19221, 0.342896, 0.208649, 0.134247,
158.000, 4.01585, 3.67401, 4.88374, -1.20973, 0.341843, 0.214294, 0.127548,
159.000, 4.08672, 3.74254, 4.99759, -1.25505, 0.344177, 0.228638, 0.115540,
160.000, 4.22600, 3.88301, 5.13257, -1.24956, 0.342987, 0.230560, 0.112427,
161.000, 4.35095, 4.01968, 5.25803, -1.23834, 0.331268, 0.220428, 0.110840,
162.000, 4.44817, 4.12425, 5.33084, -1.20659, 0.323914, 0.210327, 0.113586,
163.000, 4.46426, 4.14197, 5.32227, -1.18030, 0.322296, 0.200378, 0.121918,
164.000, 4.34576, 4.01402, 5.23898, -1.22496, 0.331741, 0.202454, 0.129288,
165.000, 4.23755, 3.88503, 5.10559, -1.22057, 0.352524, 0.216919, 0.135605,
166.000, 4.10062, 3.73802, 4.97261, -1.23459, 0.362595, 0.227661, 0.134933,
167.000, 4.05411, 3.69733, 4.89090, -1.19357, 0.356781, 0.217773, 0.139008,
168.000, 4.03564, 3.68327, 4.87584, -1.19257, 0.352371, 0.207947, 0.144424,
169.000, 4.01712, 3.66455, 4.89131, -1.22676, 0.352570, 0.213928, 0.138641,
170.000, 4.10580, 3.74933, 4.98892, -1.23959, 0.356476, 0.225922, 0.130554,
171.000, 4.20221, 3.84846, 5.13144, -1.28297, 0.353745, 0.236511, 0.117233,
172.000, 4.32547, 3.97639, 5.24561, -1.26921, 0.349075, 0.235748, 0.113327,
173.000, 4.46658, 4.13002, 5.39679, -1.26677, 0.336563, 0.220886, 0.115677,
174.000, 4.60915, 4.28036, 5.47888, -1.19852, 0.328781, 0.210297, 0.118484,
175.000, 4.56761, 4.23911, 5.43304, -1.19394, 0.328506, 0.202362, 0.126144,
176.000, 4.45958, 4.12134, 5.35916, -1.23782, 0.338242, 0.205109, 0.133133,
177.000, 4.36853, 4.01379, 5.24173, -1.22794, 0.354736, 0.221008, 0.133728,
178.000, 4.22115, 3.85345, 5.09259, -1.23914, 0.367691, 0.232880, 0.134811,
179.000, 4.13802, 3.77281, 4.98299, -1.21017, 0.365204, 0.225494, 0.139709,
180.000, 4.12967, 3.76787, 4.97093, -1.20306, 0.361801, 0.215729, 0.146072,
181.000, 4.16901, 3.81062, 4.99652, -1.18590, 0.358383, 0.217407, 0.140976,
182.000, 4.20531, 3.84419, 5.07330, -1.22911, 0.361115, 0.228912, 0.132202,
183.000, 4.30437, 3.94427, 5.19180, -1.24753, 0.360092, 0.239563, 0.120529,
184.000, 4.41595, 4.06284, 5.33078, -1.26794, 0.353119, 0.238647, 0.114471,
185.000, 4.56032, 4.21626, 5.46396, -1.24770, 0.344055, 0.227783, 0.116272,
186.000, 4.62187, 4.28641, 5.52039, -1.23398, 0.335464, 0.214813, 0.120651,
187.000, 4.62193, 4.29198, 5.50061, -1.20863, 0.329956, 0.205353, 0.124603,
188.000, 4.54231, 4.20122, 5.40393, -1.20271, 0.341095, 0.207886, 0.133209,
189.000, 4.40074, 4.04308, 5.28424, -1.24117, 0.357666, 0.222382, 0.135284,
190.000, 4.25024, 3.88000, 5.12643, -1.24643, 0.370239, 0.233734, 0.136505,
191.000, 4.15768, 3.78973, 5.01517, -1.22543, 0.367950, 0.226349, 0.141602,
192.000, 4.11234, 3.74863, 4.97432, -1.22569, 0.363708, 0.217163, 0.146545,
193.000, 4.16017, 3.80170, 5.01205, -1.21036, 0.358475, 0.218475, 0.139999,
194.000, 4.23740, 3.87912, 5.09033, -1.21121, 0.358276, 0.229004, 0.129272,
195.000, 4.31398, 3.95355, 5.21515, -1.26160, 0.360428, 0.241882, 0.118546,
196.000, 4.43703, 4.08092, 5.35724, -1.27632, 0.356110, 0.239410, 0.116699,
197.000, 4.54979, 4.20816, 5.48184, -1.27368, 0.341629, 0.225372, 0.116257,
198.000, 4.64772, 4.31543, 5.54391, -1.22849, 0.332291, 0.213287, 0.119003,
199.000, 4.65205, 4.31847, 5.50977, -1.19130, 0.333588, 0.204285, 0.129303,
200.000, 4.54259, 4.20015, 5.40045, -1.20030, 0.342438, 0.207916, 0.134521,
201.000, 4.45306, 4.09212, 5.30319, -1.21107, 0.360947, 0.223114, 0.137833,
202.000, 4.29193, 3.92122, 5.14868, -1.22746, 0.370712, 0.233887, 0.136826,
203.000, 4.19095, 3.82170, 5.03929, -1.21759, 0.369247, 0.227570, 0.141678,
204.000, 4.15356, 3.78810, 4.98907, -1.20097, 0.365463, 0.218597, 0.146866,
205.000, 4.19154, 3.83025, 5.01573, -1.18549, 0.361298, 0.218842, 0.142456,
206.000, 4.23599, 3.87325, 5.10602, -1.23277, 0.362747, 0.229614, 0.133133,
207.000, 4.34268, 3.98174, 5.23468, -1.25294, 0.360947, 0.242279, 0.118668,
208.000, 4.42006, 4.06525, 5.36877, -1.30353, 0.354813, 0.239166, 0.115646,
209.000, 4.57913, 4.23575, 5.49585, -1.26010, 0.343384, 0.227051, 0.116333,
210.000, 4.62755, 4.29352, 5.54697, -1.25345, 0.334030, 0.217316, 0.116714,
211.000, 4.63136, 4.30042, 5.52307, -1.22266, 0.330948, 0.207581, 0.123367,
212.000, 4.55278, 4.20982, 5.43280, -1.22298, 0.342957, 0.209900, 0.133057,
213.000, 4.40950, 4.05092, 5.28940, -1.23848, 0.358582, 0.223419, 0.135162,
214.000, 4.28748, 3.91437, 5.14490, -1.23053, 0.373108, 0.235870, 0.137238,
